Tahun,Kecamatan,LuasDampak
2025,Bandar Sribhawono,768.642977
2025,Bumi Agung,569.011455
2025,Candipuro,1833.508107
2025,Kalianda,1152.127047
2025,Katibung,3871.411022
2025,Marga Tiga,2293.702314
2025,Mataram Baru,1976.501181
2025,Sekampung Udik,3440.354151
2025,Sidomulyo,4132.644978
2025,Sukadana,527.050779
2024,Bandar Sribhawono,3152.58887
2024,Bumi Agung,480.481697
2024,Labuhan Ratu,4511.342137
2024,Marga Tiga,2441.082062
2024,Mataram Baru,3624.32153
2024,Sekampung Udik,4450.103791
2024,Sukadana,7140.027989
2024,Way Jepara,6288.559266
